Year,Sample,Temp_range,moisture,moisture_units,Q10,N_species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,Meas_method
,,5_15,40,percentage field capacity,13,nitrification,,,,,,Maag1996,lab,
,,15_25,40,,12,nitrification,,,,,,Maag1996,lab,
,,25_35,40,,10,nitrification,,,,,,Maag1996,lab,
,,5_15,55,,4.9,nitrification,,,,,,Maag1996,lab,
,,15_25,55,,4.4,nitrification,,,,,,Maag1996,lab,
,,25_35,55,,4,nitrification,,,,,,Maag1996,lab,
,,5_15,70,,5.7,nitrification,,,,,,Maag1996,lab,
,,15_25,70,,5.1,nitrification,,,,,,Maag1996,lab,
,,25_35,70,,4.6,nitrification,,,,,,Maag1996,lab,
,,5_15,85,,2.9,nitrification,,,,,,Maag1996,lab,
,,15_25,85,,2.7,nitrification,,,,,,Maag1996,lab,
,,25_35,85,,2.6,nitrification,,,,,,Maag1996,lab,
,,5_15,100,,1.9,nitrification,,,,,,Maag1996,lab,
,,15_25,100,,1.8,nitrification,,,,,,Maag1996,lab,
,,25_35,100,,1.7,nitrification,,,,,,Maag1996,lab,
,coarse sandy soil,2_25,80,,3.1,DN (N2O + N2),,,,,,Maag1996,lab,GC
,coarse sandy soil,2_25,100,,1.9,DN (N2O + N2),,,,,,Maag1996,lab,GC
,coarse sandy soil,2_25,140,,3.4,DN (N2O + N2),,,,,,Maag1996,lab,GC
,sandy loam soil,2_25,75,,4.9,DN (N2O + N2),,,,,,Maag1996,lab,GC
,sandy loam soil,2_25,100,,8.7,DN (N2O + N2),,,,,,Maag1996,lab,GC
,sandy loam soil,2_25,125,,7.1,DN (N2O + N2),,,,,,Maag1996,lab,GC
,sandy loam soil,2_25,150,,5.6,DN (N2O + N2),,,,,,Maag1996,lab,GC
,sandy loam soil,2_25,175,,8.9,DN (N2O + N2),,,,,,Maag1996,lab,GC
