File name:,NGADG0017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,"Jianqiu Zheng (zhengj@ornl.gov), David Graham (grahamde@ornl.gov)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Modified:,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified By:,Jianqiu Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,https://doi.org/10.5440/1440029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cite Dataset As:,"Jianqiu Zheng, Taniya RoyChowdhury, Elizabeth Herndon, Ziming Yang, Baohua Gu, Stan Wullschleger, David Graham. 2018. Synthesis of Soil Geochemical Characteristics and Organic Carbon Degradation from Arctic Polygon Tundra, Barrow, Alaska. Next Generation Ecosystem Experiments Arctic Data Collection, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tennessee, USA. Dataset accessed on [insert_date] at https://doi.org/10.5440/1440029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core_ID,Soil_layer,Polygon Type,Microtopography,Upper_depth_of_soil_layer,Lower_depth_of_soil_layer,Moisture,SOC,C_N_ratio,Headspace,Incubation_Temperature,Incubation_Time,CO2_1,CO2_1_Rate,CO2_1_Fit,CO2_2,CO2_2_Rate,CO2_2_Fit,CO2_3,CO2_3_Rate,CO2_3_Fit,CH4_1,CH4_1_Rate,CH4_1_Fit,CH4_2,CH4_2_Rate,CH4_2_Fit,CH4_3,CH4_3_Rate,CH4_3_Fit,WEOC,TOAC,Formate,Acetate,Propionate,Butyrate,Fe_II,pH
,,,,cm,cm,g H2O g-1 soil,%,,Anoxic,deg_C,Day,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,0,-9999,8.49,Hyperbolic,-9999,14.15,Hyperbolic,-9999,8.96,Hyperbolic,-9999,0.14,linear,-9999,0.05,linear,-9999,0.05,linear,565,122,18.61,50.59,0.87,0,7.59,5.02
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,2,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,3,17.8,-9999,-9999,26.1,-9999,-9999,18.8,-9999,-9999,0.44,-9999,-9999,0.34,-9999,-9999,0.44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,5,35.6,-9999,-9999,58.6,-9999,-9999,36.3,-9999,-9999,0.97,-9999,-9999,0.84,-9999,-9999,0.63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,7,43.9,-9999,-9999,71.8,-9999,-9999,46.7,-9999,-9999,1.52,-9999,-9999,0.93,-9999,-9999,0.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,9,48,-9999,-9999,76.8,-9999,-9999,55,-9999,-9999,1.16,-9999,-9999,0.53,-9999,-9999,0.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,11,52.7,-9999,-9999,88.3,-9999,-9999,57.3,-9999,-9999,1.21,-9999,-9999,1.16,-9999,-9999,1.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,13,56.1,-9999,-9999,97.6,-9999,-9999,59.3,-9999,-9999,1.63,-9999,-9999,0.82,-9999,-9999,0.99,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.3,5.09
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,21,82.2,-9999,-9999,141,-9999,-9999,60.5,-9999,-9999,1.5,-9999,-9999,0.8,-9999,-9999,0.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,26,107,-9999,-9999,170,-9999,-9999,98.2,-9999,-9999,2.12,-9999,-9999,1.07,-9999,-9999,1.23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,31,132,-9999,-9999,214,-9999,-9999,80.3,-9999,-9999,2.48,-9999,-9999,1.63,-9999,-9999,1.58,-9999,-9999,724,283,2.11,87.62,12.84,16.7,154.8,5.31
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,35,150,-9999,-9999,216,-9999,-9999,153,-9999,-9999,2.73,-9999,-9999,1.74,-9999,-9999,1.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,42,215,-9999,-9999,278,-9999,-9999,178,-9999,-9999,2.76,-9999,-9999,1.96,-9999,-9999,2.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,49,249,-9999,-9999,303,-9999,-9999,197,-9999,-9999,3.38,-9999,-9999,2.89,-9999,-9999,3.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,56,224,-9999,-9999,293,-9999,-9999,162,-9999,-9999,3.38,-9999,-9999,2.89,-9999,-9999,3.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,-2,62,275,-9999,-9999,371,-9999,-9999,222,-9999,-9999,3.89,-9999,-9999,3.48,-9999,-9999,3.44,-9999,-9999,579,251,2.19,75.97,13.44,14.21,159.7,5.42
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,0,-9999,27.89,Hyperbolic,-9999,31.21,Hyperbolic,-9999,51.59,Hyperbolic,-9999,2.64,hyperbolic,-9999,2.77,hypobolic,-9999,1.61,hypobolic,565,122,18.61,50.59,0.87,0,7.59,5.02
