File name:,NGADG0005.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,"Jianqiu Zheng (zhengj@ornl.gov), David Graham (grahamde@ornl.gov)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Modified:,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified By:,Jianqiu Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,https://doi.org/10.5440/1440029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cite Dataset As:,"Jianqiu Zheng, Taniya RoyChowdhury, Elizabeth Herndon, Ziming Yang, Baohua Gu, Stan Wullschleger, David Graham. 2018. Synthesis of Soil Geochemical Characteristics and Organic Carbon Degradation from Arctic Polygon Tundra, Barrow, Alaska. Next Generation Ecosystem Experiments Arctic Data Collection, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tennessee, USA. Dataset accessed on [insert_date] at https://doi.org/10.5440/1440029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core_ID,Soil_layer,Polygon Type,Microtopography,Upper_depth_of_soil_layer,Lower_depth_of_soil_layer,Moisture,SOC,C_N_ratio,Headspace,Incubation_Temperature,Incubation_Time,CO2_1,CO2_1_Rate,CO2_1_Fit,CO2_2,CO2_2_Rate,CO2_2_Fit,CO2_3,CO2_3_Rate,CO2_3_Fit,CH4_1,CH4_1_Rate,CH4_1_Fit,CH4_2,CH4_2_Rate,CH4_2_Fit,CH4_3,CH4_3_Rate,CH4_3_Fit,WEOC,TOAC,Formate,Acetate,Propionate,Butyrate,Fe_II,pH
,,,,cm,cm,g H2O g-1 soil,%,,Anoxic,deg_C,Day,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,0,-9999,0.65,Hyperbolic,-9999,1.98,Hyperbolic,-9999,-9999,-9999,-9999,0.0046,Linear,-9999,0.0063,Linear,-9999,-9999,-9999,452,0.421,0.03,0.06,0.09,0,5.91,5.21
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,1,5.4,-9999,-9999,7.95,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,3,6.46,-9999,-9999,12.2,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,5,7.39,-9999,-9999,15,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,7,9.39,-9999,-9999,20.2,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,15,15.4,-9999,-9999,29.4,-9999,-9999,-9999,-9999,-9999,0.0257,-9999,-9999,0.0257,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.6,5.21
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,20,18.9,-9999,-9999,36.8,-9999,-9999,-9999,-9999,-9999,0.00266,-9999,-9999,0.00266,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,25,20.9,-9999,-9999,41.6,-9999,-9999,-9999,-9999,-9999,0.114,-9999,-9999,0.144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,29,23.2,-9999,-9999,47.2,-9999,-9999,-9999,-9999,-9999,0.0225,-9999,-9999,0.0246,-9999,-9999,-9999,-9999,-9999,529,1.774,0.04,0.73,0.09,0,65.7,5.98
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,36,33.1,-9999,-9999,50,-9999,-9999,-9999,-9999,-9999,0.0909,-9999,-9999,0.315,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,42,38.9,-9999,-9999,74.2,-9999,-9999,-9999,-9999,-9999,0.115,-9999,-9999,0.338,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,49,41.1,-9999,-9999,41.1,-9999,-9999,-9999,-9999,-9999,0.213,-9999,-9999,0.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,-2,55,57.1,-9999,-9999,57.1,-9999,-9999,-9999,-9999,-9999,0.284,-9999,-9999,0.275,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,114.9,6.21
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,4,0,-9999,3.21,Hyperbolic,-9999,4.17,Hyperbolic,-9999,-9999,-9999,-9999,0.0141,Linear,-9999,0.0178,Linear,-9999,-9999,-9999,452,0.421,0.03,0.06,0.09,0,5.91,5.21
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,4,1,8.39,-9999,-9999,8.57,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,4,3,16,-9999,-9999,17.8,-9999,-9999,-9999,-9999,-9999,0.0634,-9999,-9999,0.0394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0005,Organic,LCP,Rim,0,8,3.67,38.89,17,Anoxic,4,5,20.7,-9999,-9999,22.9,-9999,-9999,-9999,-9999,-9999,0.0984,-9999,-9999,0.0909,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
