File name:,NGADG0073.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,"Jianqiu Zheng (zhengj@ornl.gov), David Graham (grahamde@ornl.gov)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Modified:,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified By:,Jianqiu Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,https://doi.org/10.5440/1440029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cite Dataset As:,"Jianqiu Zheng, Taniya RoyChowdhury, Elizabeth Herndon, Ziming Yang, Baohua Gu, Stan Wullschleger, David Graham. 2018. Synthesis of Soil Geochemical Characteristics and Organic Carbon Degradation from Arctic Polygon Tundra, Barrow, Alaska. Next Generation Ecosystem Experiments Arctic Data Collection, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tennessee, USA. Dataset accessed on [insert_date] at https://doi.org/10.5440/1440029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core_ID,Soil_layer,Polygon Type,Microtopography,Upper_depth_of_soil_layer,Lower_depth_of_soil_layer,Moisture,SOC,C_N_ratio,Headspace,Incubation_Temperature,Incubation_Time,CO2_1,CO2_1_Rate,CO2_1_Fit,CO2_2,CO2_2_Rate,CO2_2_Fit,CO2_3,CO2_3_Rate,CO2_3_Fit,CH4_1,CH4_1_Rate,CH4_1_Fit,CH4_2,CH4_2_Rate,CH4_2_Fit,CH4_3,CH4_3_Rate,CH4_3_Fit,WEOC,TOAC,Formate,Acetate,Propionate,Butyrate,Fe_II,pH
,,,,cm,cm,g H2O g-1 soil,%,,Anoxic,deg_C,Day,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,0,-9999,0.29,Hyperbolic,-9999,0.24,Hyperbolic,-9999,-9999,-9999,-9999,0.08,Linear,-9999,0.09,Linear,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.02
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,1,1.22,-9999,-9999,0.729,-9999,-9999,-9999,-9999,-9999,0.0649,-9999,-9999,0.0398,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,3,1.51,-9999,-9999,1.29,-9999,-9999,-9999,-9999,-9999,0.145,-9999,-9999,0.126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,5,1.93,-9999,-9999,1.41,-9999,-9999,-9999,-9999,-9999,0.203,-9999,-9999,0.149,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,8,2.2,-9999,-9999,1.85,-9999,-9999,-9999,-9999,-9999,0.403,-9999,-9999,0.381,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,13,2.7,-9999,-9999,2.33,-9999,-9999,-9999,-9999,-9999,0.723,-9999,-9999,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,15,2.57,-9999,-9999,2.63,-9999,-9999,-9999,-9999,-9999,0.772,-9999,-9999,0.901,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,19,3.42,-9999,-9999,3.19,-9999,-9999,-9999,-9999,-9999,1.27,-9999,-9999,1.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,34,5.63,-9999,-9999,5.24,-9999,-9999,-9999,-9999,-9999,2.85,-9999,-9999,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0073,Mineral,LCP,Center,15,40,1.06,17.58,18,Anoxic,-2,41,6.33,-9999,-9999,6.18,-9999,-9999,-9999,-9999,-9999,2.99,-9999,-9999,3.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
