"Year","Sample","Temp_range","Temp_flag","moisture","moisture_units","moisture_flag","R10","Q10","Q10_flag","Species","Latitude","Longitude","lat_lon_notes","Manipulation","Ecosystem_type_old","Ecosystem_type","Biome","Source","Incubation","Duplicate_record","notes","notes2","notes_data_location","StudyName","DOI","Meas_method","Horizon","Depth_cm","Vegetation","notes3","MAT_C","MMT_C","MAP_mm","...35","Texture","...37","time_days","Elevation_m","...40","...41","corg","norg","clay","ph"
,,,,,,,,,,,,,,,,,,"Chen et al. 2020","https://doi.org/10.1016/j.gecco.2020.e00955",,,,,,,,,,,,,,,,,,,,,,,,,
,"BB1","10_30",,"35","percent WHC",,,2.7,,"CO2","44.87_N","68.1_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Bear Brook, ME, USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Picea rubens",,"6.1","18","1200","12.8","sandy loam","4.3","0.4","400",,,,,,
,"BB2","10_30",,"35","percent WHC",,,2.8,,"CO2","44.87_N","68.1_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Bear Brook, ME, USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Fagus grandifolia, Acer rubrum, Acer saccharum, Betula alleghaniensis",,"6.1","18","1200","5.2","sandy loam","4.6","0.4","400",,,,,,
,"BF1","10_30",,"35","percent WHC",,,3,,"CO2","41.58_N","80.05_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Bousson Forest, PA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Acer saccharum, Fagus grandifolia, Prunus serotina",,"7.8","18","1000","6.4","loam","4.1","1.1","390",,,,,,
,"BF2","10_30",,"35","percent WHC",,,3.5,,"CO2","41.58_N","80.05_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Bousson Forest, PA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Acer saccharum, Fagus grandifolia, Prunus serotina",,"7.8","18","1000","9.5","loam","3.6","0.6","390",,,,,,
,"BP1","10_30",,"35","percent WHC",,,2.8,,"CO2","43.75_N","102.38_W",,,"NA","NA","NA","Fierer2006","lab",,,"Badlands National Park, SD","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Agropyron smithii, Schizachyrium scoparium",,"6.6","18","450","3.1","silt loam","7.5","3","1000",,,,,,
,"BZ1","10_30",,"35","percent WHC",,,2.6,,"CO2","64.8_N","148.25_W",,,"NA","NA","NA","Fierer2006","lab",,,"Bonanza Creek LTER, AK USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Picea glauca",,"-2.9","11","260","3","silt loam","5.1","1.8","300",,,,,,
,"BZ2","10_30",,"35","percent WHC",,,2.6,,"CO2","64.8_N","148.25_W",,,"NA","NA","NA","Fierer2006","lab",,,"Bonanza Creek LTER, AK USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Picea glauca",,"-2.9","11","260","3","silt loam","5.2","2.8","300",,,,,,
,"BZ3","10_30",,"35","percent WHC",,,2.4,,"CO2","64.8_N","148.25_W",,,"NA","NA","NA","Fierer2006","lab",,,"Bonanza Creek LTER, AK USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Picea glauca",,"-2.9","11","260","3.7","silt loam","5.4","3.3","300",,,,,,
,"CA1","10_30",,"35","percent WHC",,,2.6,,"CO2","36.05_N","111.77_W",,,"NA","NA","NA","Fierer2006","lab",,,"Cedar Mtn., AZ USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus edulis",,"10.3","15","400","1.7","silt loam","7.3","2.7","2003",,,,,,
