Table 4. Model Parameters of the Potential Enzyme Activities Using the Flexible Temperature Dependence Function (Equation (2))a

	Flexible Model [Lloyd and Taylor, 1994], f(T) = A1 middot e(-B1/(T-T0))	szlig-Glucosidase	Xylosidase	N-Acetyl-szlig-Glucosaminidase
	A1	B1	T0	A1	B1	T0	A1	B1	T0
Summer									
 Meadow	2.68 104 (2.63 103)	814 (102)	204 (32)	4.44 105 (5.36 104)	1291 (126)	179(24)	4.71 104 (5.73104)	1108 (131)	179 (25)
 Transitional	6.07 104 (5.73 103)	990 (103)	195 (25)	2.17 105 (2.35 104)	1159 (134)	182 (16)	9.31 104 (1.03 105)	1203 (115)	176 (16)
 Fen	4.36 104 (3.19 103)	812 (162)	199 (32)	2.12 106 (3.83 105)	1684 (212)	163 (23)	1.13 104 (1.52 104)	988 (135)	184 (25)
 Wet fen	5.93 103 (7.98 102)	605 (76)	209 (19)	5.43 104 (4.84 103)	833 (116)	197 (24)	5.76 106 (7.20 105)	1776 (215)	155 (21)
Autumn									
 Meadow	1.41 104 (6.97 103)	673 (59)	212 (32)	8.86 105 (3.91 105)	1482 (184)	174 (28)	2.27 106 (8.32 105)	1578 (199)	168 (25)
 Transitional	9.83 103 (5.51 102)	581 (78)	215 (35)	3.25 105 (6.23 104)	1250 (134)	178 (26)	7.23 106 (2.74 106)	1830 (204)	159 (20)
 Fen	2.14 105 (1.94 104)	1019 (121)	195 (38)	1.96 106 (3.73 105)	1596 (301)	169 (29)	4.65 106 (2.93 106)	1992 (267)	148 (26)
 Wet fen	3.26 104 (3.73 103)	786 (98)	206 (36)	3.83 105 (9.21 104)	1132 (125)	186 (31)	6.63 105 (6.34 105)	1627 (165)	161 (24)
Winter									
 Meadow	1.27 104 (1.52 103)	638 (71)	211 (39)	2.17 105 (3.21 104)	1073 (96)	187 (19)	8.68 106 (2.23 105)	1489 (168)	168 (20)
 Transitional	1.03 104 (3.45 103)	674 (78)	206 (32)	5.51 104 (7.23 104)	1371 (165)	171 (28)	2.69 105 (9.34 104)	1298 (168)	179 (26)
 Fen	7.34 104 (7.24 103)	1005 (124)	195 (26)	3.23 105 (5.32104)	1194 (187)	184 (36)	2.65 106 (7.31 105)	1783 (362)	158 (33)
 Wet fen	6.54 103 (6.24 102)	590 (56)	214 (25)	1.27 106 (1.94105)	1475 (243)	173 (28)	1.93 105 (5.34 104)	1273 (154)	171 (25)

	Tyrosine Amino-peptidase	Leucine Amino-peptidase			
Summer	A1	B1	T0	A1	B1	T0			
 Meadow	8.34 106 (1.03 105)	2950 (523)	86 (10)	7.54 106 (5.2 105)	2965 (368)	81 (13)			
 Transitional	9.62 106 (2.39 105)	2765 (341)	98 (13)	3.44 107 (6.43 106)	3083 (403)	91 (9)			
 Fen	7.58 106 (1.74 105)	2703 (503)	103 (21)	4.87 106 (8.21 105)	2960 (389	99 (16)			
 Wet fen	7.11 107 (9.21 106)	3359 (322)	83 (11)	2.49 106 (9.21 105)	2241 (421)	113 (22)			
Autumn									
 Meadow	4.07 106 (4.72 105)	2292 (298)	121 (19)	7.37 105 (5.32 104)	1770 (268)	139 (16)			
 Transitional	9.42 106 (3.53105)	2584 (268)	106 (14)	9.12 104 (8.11 103)	1380 (223)	151 (27)			
 Fen	6.95 108 (4.55 107)	3896 (532)	83 (15)	6.52 106 (9.21 105)	2410 (435)	114 (30)			
 Wet fen	2.46 104 (3.93 103)	1664 (265)	157 (28)	3.29 106 (7.30 105)	2678 (343)	131 (22)			
Winter									
 Meadow	1.12 105 (1.45 104)	1437 (165)	153 (15)	7.17 105 (5.23 104)	2119 (408)	109 (17)			
 Transitional	5.26 106 (3.61 105)	2416 (321)	113 (12)	2.09 107 (5.12106)	2930 (355)	92 (13)			
 Fen	1.12 104 (1.54 103)	1016 (186)	179 (17)	8.11 105 (7.87 104)	1674 (304)	147 (21)			
 Wet fen	6.15 104 (6.77103)	1367 (156)	146 (19)	5.06 106 (4.48 105)	2193 (412)	123 (14)			

aUnits are A1: (nmol MUB g-1 min-1) (szlig-glucosidase, szlig-xylosidase, N-acetyl-szlig-glucosaminidase), (nmol AMC g-1 min-1) (tyrosine amino-peptidase, leucine amino-peptidase) and B1, T0: (K). Values are means (+/- standard errors). 
