ref.id,soil.id,reference,soil,depth,ecosystem,climate,time,tmin,tmax,temp,q10,q10calc,corg,norg,clay,ph,substrate,substrate2
1,1,Andrews et al. 2000,Duke_B,0 to 10,forest,temperate,48,4,22,13,3.75,equal-time,,,,,N,
1,1,Andrews et al. 2000,Duke_B,0 to 10,forest,temperate,48,22,40,31,1.73,equal-time,,,,,N,
2,2,Arevalo et al. 2012,2HP,0 to 10,forest,temperate,30,7,14,10.5,2.69,equal-time,,,,,N,
2,2,Arevalo et al. 2012,2HP,0 to 10,forest,temperate,30,14,21,17.5,3.02,equal-time,,,,,N,
2,2,Arevalo et al. 2012,2HP,0 to 10,forest,temperate,370,7,14,10.5,3.65,equal-time,,,,,N,
2,2,Arevalo et al. 2012,2HP,0 to 10,forest,temperate,370,14,21,17.5,1.52,equal-time,,,,,N,
2,3,Arevalo et al. 2012,9HP,0 to 10,forest,temperate,30,7,14,10.5,3.19,equal-time,,,,,N,
2,3,Arevalo et al. 2012,9HP,0 to 10,forest,temperate,30,14,21,17.5,2.48,equal-time,,,,,N,
2,3,Arevalo et al. 2012,9HP,0 to 10,forest,temperate,370,7,14,10.5,2.86,equal-time,,,,,N,
2,3,Arevalo et al. 2012,9HP,0 to 10,forest,temperate,370,14,21,17.5,1.64,equal-time,,,,,N,
2,4,Arevalo et al. 2012,AG,0 to 10,cultivated,temperate,30,7,14,10.5,2.69,equal-time,,,,,N,
2,4,Arevalo et al. 2012,AG,0 to 10,cultivated,temperate,30,14,21,17.5,3.02,equal-time,,,,,N,
2,4,Arevalo et al. 2012,AG,0 to 10,cultivated,temperate,370,7,14,10.5,3.43,equal-time,,,,,N,
2,4,Arevalo et al. 2012,AG,0 to 10,cultivated,temperate,370,14,21,17.5,1.92,equal-time,,,,,N,
2,5,Arevalo et al. 2012,GRA,0 to 10,grassland,temperate,30,7,14,10.5,4.06,equal-time,,,,,N,
2,5,Arevalo et al. 2012,GRA,0 to 10,grassland,temperate,30,14,21,17.5,2.94,equal-time,,,,,N,
