Study_number,Respiration_type,Authors,Title,Q10,respiration_type,treatment,sample,notes
4340,heterotrophic,"Hu, QW; Wu, Q; Cao, GM; Li, D; Long, RJ; Wang, YS",Growing season ecosystem respirations and associated component fluxes in two alpine meadows on the Tibetan Plateau,NA,,,,
5317,heterotrophic,"Ruehr, NK; Buchmann, N",Soil respiration fluxes in a temperate mixed forest: seasonality and temperature sensitivities differ among microbial and root-rhizosphere respiration,3.2,Ra,,annual,
5317,heterotrophic,"Ruehr, NK; Buchmann, N",Soil respiration fluxes in a temperate mixed forest: seasonality and temperature sensitivities differ among microbial and root-rhizosphere respiration,2.3,Rh,,annual,contribution of roots was higher in growing season than dormant
5522,heterotrophic,"Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H",Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower,1.9,Ra,,,
5522,heterotrophic,"Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H",Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower,2.5,Ra,,,
5522,heterotrophic,"Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H",Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower,2.2,Ra,,,
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",5.9,Ra,,2005,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",4.7,Ra,,2006,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",4.2,Ra,,2005,stand q
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",4.5,Ra,,2006,stand q
